Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	89.0	92.0	0	12000.0	Eurasian Blackbird	eurbla	0.5062	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_110500.wav	29.0
2	Spectrogram 1	1	90.0	93.0	0	12000.0	Eurasian Blackbird	eurbla	0.5124	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_110500.wav	30.0
3	Spectrogram 1	1	93.0	96.0	0	12000.0	Eurasian Blackbird	eurbla	0.6347	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_110500.wav	33.0
4	Spectrogram 1	1	194.0	197.0	0	12000.0	Eurasian Magpie	eurmag1	0.7860	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_111500.wav	14.0
5	Spectrogram 1	1	195.0	198.0	0	12000.0	Eurasian Magpie	eurmag1	0.8455	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_111500.wav	15.0
6	Spectrogram 1	1	196.0	199.0	0	12000.0	Eurasian Magpie	eurmag1	0.6563	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_111500.wav	16.0
7	Spectrogram 1	1	202.0	205.0	0	12000.0	Eurasian Magpie	eurmag1	0.7623	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_111500.wav	22.0
8	Spectrogram 1	1	203.0	206.0	0	12000.0	Eurasian Magpie	eurmag1	0.8077	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_111500.wav	23.0
9	Spectrogram 1	1	204.0	207.0	0	12000.0	Eurasian Magpie	eurmag1	0.6733	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_111500.wav	24.0
10	Spectrogram 1	1	215.0	218.0	0	12000.0	Eurasian Magpie	eurmag1	0.7687	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_111500.wav	35.0
11	Spectrogram 1	1	216.0	219.0	0	12000.0	Eurasian Magpie	eurmag1	0.8364	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_111500.wav	36.0
12	Spectrogram 1	1	217.0	220.0	0	12000.0	Eurasian Magpie	eurmag1	0.6567	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_111500.wav	37.0
13	Spectrogram 1	1	282.0	285.0	0	12000.0	Eurasian Blackbird	eurbla	0.5625	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112000.wav	42.0
14	Spectrogram 1	1	283.0	286.0	0	12000.0	Eurasian Blackbird	eurbla	0.6997	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112000.wav	43.0
15	Spectrogram 1	1	327.0	330.0	0	12000.0	Eurasian Magpie	eurmag1	0.5385	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	27.0
16	Spectrogram 1	1	329.0	332.0	0	12000.0	Eurasian Magpie	eurmag1	0.6299	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	29.0
17	Spectrogram 1	1	333.0	336.0	0	12000.0	Eurasian Magpie	eurmag1	0.8370	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	33.0
18	Spectrogram 1	1	334.0	337.0	0	12000.0	Eurasian Magpie	eurmag1	0.7576	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	34.0
19	Spectrogram 1	1	335.0	338.0	0	12000.0	Eurasian Magpie	eurmag1	0.8341	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	35.0
20	Spectrogram 1	1	336.0	339.0	0	12000.0	Eurasian Magpie	eurmag1	0.6912	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	36.0
21	Spectrogram 1	1	337.0	340.0	0	12000.0	Eurasian Magpie	eurmag1	0.6338	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	37.0
22	Spectrogram 1	1	338.0	341.0	0	12000.0	Eurasian Magpie	eurmag1	0.8271	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	38.0
23	Spectrogram 1	1	339.0	342.0	0	12000.0	Eurasian Magpie	eurmag1	0.8615	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	39.0
24	Spectrogram 1	1	340.0	343.0	0	12000.0	Eurasian Magpie	eurmag1	0.8612	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	40.0
25	Spectrogram 1	1	344.0	347.0	0	12000.0	Eurasian Magpie	eurmag1	0.9285	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	44.0
26	Spectrogram 1	1	345.0	348.0	0	12000.0	Eurasian Magpie	eurmag1	0.8205	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	45.0
27	Spectrogram 1	1	346.0	349.0	0	12000.0	Eurasian Magpie	eurmag1	0.6489	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	46.0
28	Spectrogram 1	1	353.0	356.0	0	12000.0	Eurasian Magpie	eurmag1	0.8020	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	53.0
29	Spectrogram 1	1	354.0	357.0	0	12000.0	Eurasian Magpie	eurmag1	0.7798	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	54.0
30	Spectrogram 1	1	355.0	358.0	0	12000.0	Eurasian Magpie	eurmag1	0.8353	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_112500.wav	55.0
31	Spectrogram 1	1	382.0	385.0	0	12000.0	Eurasian Magpie	eurmag1	0.7834	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_113000.wav	22.0
32	Spectrogram 1	1	383.0	386.0	0	12000.0	Eurasian Magpie	eurmag1	0.7572	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_113000.wav	23.0
33	Spectrogram 1	1	384.0	387.0	0	12000.0	Eurasian Magpie	eurmag1	0.7324	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_113000.wav	24.0
34	Spectrogram 1	1	399.0	402.0	0	12000.0	Eurasian Magpie	eurmag1	0.6534	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_113000.wav	39.0
35	Spectrogram 1	1	411.0	414.0	0	12000.0	Eurasian Blackbird	eurbla	0.7427	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_113000.wav	51.0
36	Spectrogram 1	1	412.0	415.0	0	12000.0	Eurasian Blackbird	eurbla	0.6897	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\barber surgeons july 2\Data2\BARBERSURGEO_20240625_113000.wav	52.0
