Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	3482.0	3485.0	0	12000.0	Eurasian Curlew	eurcur	0.5009	D:\Project\All\7.2-7.9\Bird&Bird\Data2\BIRDBIRD_20240702_193000.wav	9.0
2	Spectrogram 1	1	8732.0	8735.0	0	12000.0	Herring Gull	hergul	0.5737	D:\Project\All\7.2-7.9\Bird&Bird\Data2\BIRDBIRD_20240703_030502.wav	21.0
3	Spectrogram 1	1	12609.0	12612.0	0	12000.0	European Greenfinch	eurgre1	0.5039	D:\Project\All\7.2-7.9\Bird&Bird\Data2\BIRDBIRD_20240703_083500.wav	19.0
4	Spectrogram 1	1	17431.0	17434.0	0	12000.0	Great Tit	gretit1	0.5618	D:\Project\All\7.2-7.9\Bird&Bird\Data2\BIRDBIRD_20240703_151500.wav	41.0
5	Spectrogram 1	1	26221.0	26224.0	0	12000.0	Herring Gull	hergul	0.5470	D:\Project\All\7.2-7.9\Bird&Bird\Data2\BIRDBIRD_20240704_035002.wav	20.0
6	Spectrogram 1	1	26222.0	26225.0	0	12000.0	Herring Gull	hergul	0.5999	D:\Project\All\7.2-7.9\Bird&Bird\Data2\BIRDBIRD_20240704_035002.wav	21.0
7	Spectrogram 1	1	28141.0	28144.0	0	12000.0	Herring Gull	hergul	0.5557	D:\Project\All\7.2-7.9\Bird&Bird\Data2\BIRDBIRD_20240704_063500.wav	17.0
8	Spectrogram 1	1	32286.0	32289.0	0	12000.0	Peregrine Falcon	perfal	0.5946	D:\Project\All\7.2-7.9\Bird&Bird\Data2\BIRDBIRD_20240704_122000.wav	22.0
9	Spectrogram 1	1	33968.0	33971.0	0	12000.0	Tree Pipit	trepip	0.5962	D:\Project\All\7.2-7.9\Bird&Bird\Data2\BIRDBIRD_20240704_144000.wav	24.0
10	Spectrogram 1	1	41678.0	41681.0	0	12000.0	Lesser Black-backed Gull	lbbgul	0.5034	D:\Project\All\7.2-7.9\Bird&Bird\Data2\BIRDBIRD_20240705_013502.wav	45.0
11	Spectrogram 1	1	43261.0	43264.0	0	12000.0	Herring Gull	hergul	0.5069	D:\Project\All\7.2-7.9\Bird&Bird\Data2\BIRDBIRD_20240705_035502.wav	32.0
12	Spectrogram 1	1	64350.0	64353.0	0	12000.0	Eurasian Coot	eurcoo	0.6456	D:\Project\All\7.2-7.9\Bird&Bird\Data2\BIRDBIRD_20240706_094500.wav	4.0
