Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	1306.0	1309.0	0	12000.0	Eurasian Blackbird	eurbla	0.5006	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_152000.wav	46.0
2	Spectrogram 1	1	1351.0	1354.0	0	12000.0	Eurasian Wren	winwre4	0.7205	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_152500.wav	31.0
3	Spectrogram 1	1	1352.0	1355.0	0	12000.0	Eurasian Wren	winwre4	0.8907	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_152500.wav	32.0
4	Spectrogram 1	1	1353.0	1356.0	0	12000.0	Eurasian Wren	winwre4	0.8915	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_152500.wav	33.0
5	Spectrogram 1	1	1354.0	1357.0	0	12000.0	Eurasian Wren	winwre4	0.8888	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_152500.wav	34.0
6	Spectrogram 1	1	1583.0	1586.0	0	12000.0	Common Buzzard	combuz1	0.6416	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_154500.wav	23.0
7	Spectrogram 1	1	2014.0	2017.0	0	12000.0	Mistle Thrush	misthr1	0.5142	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_162000.wav	34.0
8	Spectrogram 1	1	2015.0	2018.0	0	12000.0	Mistle Thrush	misthr1	0.6318	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_162000.wav	35.0
9	Spectrogram 1	1	2027.0	2030.0	0	12000.0	Mistle Thrush	misthr1	0.5719	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_162000.wav	47.0
10	Spectrogram 1	1	2109.0	2112.0	0	12000.0	Eurasian Blackbird	eurbla	0.7859	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_163000.wav	9.0
11	Spectrogram 1	1	2110.0	2113.0	0	12000.0	Eurasian Blackbird	eurbla	0.6080	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_163000.wav	10.0
12	Spectrogram 1	1	2129.0	2132.0	0	12000.0	Eurasian Blackbird	eurbla	0.5559	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_163000.wav	29.0
13	Spectrogram 1	1	2130.0	2133.0	0	12000.0	Eurasian Blackbird	eurbla	0.6390	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_163000.wav	30.0
14	Spectrogram 1	1	2985.0	2988.0	0	12000.0	Mallard	mallar3	0.5369	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_174000.wav	45.0
15	Spectrogram 1	1	4490.0	4493.0	0	12000.0	Common Eider	comeid	0.7538	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_194500.wav	50.0
16	Spectrogram 1	1	4491.0	4494.0	0	12000.0	Common Eider	comeid	0.7246	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_194500.wav	51.0
17	Spectrogram 1	1	4492.0	4495.0	0	12000.0	Common Eider	comeid	0.7970	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_194500.wav	52.0
18	Spectrogram 1	1	4995.0	4998.0	0	12000.0	European Goldfinch	eurgol	0.6636	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_203000.wav	15.0
19	Spectrogram 1	1	4996.0	4999.0	0	12000.0	European Goldfinch	eurgol	0.5293	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_203000.wav	16.0
20	Spectrogram 1	1	5003.0	5006.0	0	12000.0	European Goldfinch	eurgol	0.7243	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_203000.wav	23.0
21	Spectrogram 1	1	5022.0	5025.0	0	12000.0	European Goldfinch	eurgol	0.5895	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_203000.wav	42.0
22	Spectrogram 1	1	5023.0	5026.0	0	12000.0	European Goldfinch	eurgol	0.5373	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_203000.wav	43.0
23	Spectrogram 1	1	5024.0	5027.0	0	12000.0	European Goldfinch	eurgol	0.5374	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_203000.wav	44.0
24	Spectrogram 1	1	5124.0	5127.0	0	12000.0	European Robin	eurrob1	0.6658	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240618_204000.wav	24.0
25	Spectrogram 1	1	9347.0	9350.0	0	12000.0	Carrion Crow	carcro1	0.5301	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240619_025002.wav	20.0
26	Spectrogram 1	1	9996.0	9999.0	0	12000.0	Herring Gull	hergul	0.6510	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240619_034502.wav	42.0
27	Spectrogram 1	1	9997.0	10000.0	0	12000.0	Herring Gull	hergul	0.6777	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240619_034502.wav	43.0
28	Spectrogram 1	1	9998.0	10001.0	0	12000.0	Herring Gull	hergul	0.5638	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240619_034502.wav	44.0
29	Spectrogram 1	1	10005.0	10008.0	0	12000.0	Herring Gull	hergul	0.6131	C:\Users\dm820\OneDrive - Imperial College London\Desktop\ChristchurchGreyfriars\Data2\GREYFRIARS_20240619_034502.wav	51.0
