Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	315.0	318.0	0	12000.0	Rock Pigeon	rocpig	0.5754	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_121000.wav	32.0
2	Spectrogram 1	1	889.0	892.0	0	12000.0	Rock Pigeon	rocpig	0.5721	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_130000.wav	6.0
3	Spectrogram 1	1	890.0	893.0	0	12000.0	Rock Pigeon	rocpig	0.7877	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_130000.wav	7.0
4	Spectrogram 1	1	891.0	894.0	0	12000.0	Rock Pigeon	rocpig	0.5223	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_130000.wav	8.0
5	Spectrogram 1	1	901.0	904.0	0	12000.0	Common Eider	comeid	0.5642	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_130000.wav	18.0
6	Spectrogram 1	1	911.0	914.0	0	12000.0	Rock Pigeon	rocpig	0.8008	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_130000.wav	28.0
7	Spectrogram 1	1	912.0	915.0	0	12000.0	Rock Pigeon	rocpig	0.8920	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_130000.wav	29.0
8	Spectrogram 1	1	913.0	916.0	0	12000.0	Rock Pigeon	rocpig	0.6673	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_130000.wav	30.0
9	Spectrogram 1	1	1032.0	1035.0	0	12000.0	Eurasian Blue Tit	blutit	0.6100	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_131000.wav	29.0
10	Spectrogram 1	1	1065.0	1068.0	0	12000.0	Eurasian Blue Tit	blutit	0.5321	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_131500.wav	2.0
11	Spectrogram 1	1	1655.0	1658.0	0	12000.0	Long-tailed Tit	lottit1	0.5594	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_140000.wav	52.0
12	Spectrogram 1	1	1656.0	1659.0	0	12000.0	Long-tailed Tit	lottit1	0.5735	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_140000.wav	53.0
13	Spectrogram 1	1	2332.0	2335.0	0	12000.0	Rock Pigeon	rocpig	0.7711	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	9.0
14	Spectrogram 1	1	2333.0	2336.0	0	12000.0	Rock Pigeon	rocpig	0.5011	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	10.0
15	Spectrogram 1	1	2343.0	2346.0	0	12000.0	Rock Pigeon	rocpig	0.7022	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	20.0
16	Spectrogram 1	1	2344.0	2347.0	0	12000.0	Rock Pigeon	rocpig	0.7085	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	21.0
17	Spectrogram 1	1	2345.0	2348.0	0	12000.0	Rock Pigeon	rocpig	0.6013	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	22.0
18	Spectrogram 1	1	2347.0	2350.0	0	12000.0	Rock Pigeon	rocpig	0.6109	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	24.0
19	Spectrogram 1	1	2348.0	2351.0	0	12000.0	Rock Pigeon	rocpig	0.5390	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	25.0
20	Spectrogram 1	1	2349.0	2352.0	0	12000.0	Rock Pigeon	rocpig	0.6808	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	26.0
21	Spectrogram 1	1	2350.0	2353.0	0	12000.0	Rock Pigeon	rocpig	0.8907	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	27.0
22	Spectrogram 1	1	2351.0	2354.0	0	12000.0	Rock Pigeon	rocpig	0.7715	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	28.0
23	Spectrogram 1	1	2353.0	2356.0	0	12000.0	Rock Pigeon	rocpig	0.7913	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	30.0
24	Spectrogram 1	1	2354.0	2357.0	0	12000.0	Rock Pigeon	rocpig	0.8123	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	31.0
25	Spectrogram 1	1	2355.0	2358.0	0	12000.0	Rock Pigeon	rocpig	0.9273	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	32.0
26	Spectrogram 1	1	2356.0	2359.0	0	12000.0	Rock Pigeon	rocpig	0.9576	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	33.0
27	Spectrogram 1	1	2357.0	2360.0	0	12000.0	Rock Pigeon	rocpig	0.8253	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150000.wav	34.0
28	Spectrogram 1	1	2403.0	2406.0	0	12000.0	Rock Pigeon	rocpig	0.7097	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150500.wav	20.0
29	Spectrogram 1	1	2404.0	2407.0	0	12000.0	Rock Pigeon	rocpig	0.7360	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150500.wav	21.0
30	Spectrogram 1	1	2405.0	2408.0	0	12000.0	Rock Pigeon	rocpig	0.8831	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150500.wav	22.0
31	Spectrogram 1	1	2406.0	2409.0	0	12000.0	Rock Pigeon	rocpig	0.7215	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_150500.wav	23.0
32	Spectrogram 1	1	3359.0	3362.0	0	12000.0	Rock Pigeon	rocpig	0.5780	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_162500.wav	16.0
33	Spectrogram 1	1	3362.0	3365.0	0	12000.0	Rock Pigeon	rocpig	0.6451	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_162500.wav	19.0
34	Spectrogram 1	1	3364.0	3367.0	0	12000.0	Rock Pigeon	rocpig	0.5576	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_162500.wav	21.0
35	Spectrogram 1	1	3365.0	3368.0	0	12000.0	Rock Pigeon	rocpig	0.5162	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_162500.wav	22.0
36	Spectrogram 1	1	3366.0	3369.0	0	12000.0	Rock Pigeon	rocpig	0.6449	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_162500.wav	23.0
37	Spectrogram 1	1	3370.0	3373.0	0	12000.0	Rock Pigeon	rocpig	0.5907	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_162500.wav	27.0
38	Spectrogram 1	1	4203.0	4206.0	0	12000.0	Rook	rook1	0.5157	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_173500.wav	20.0
39	Spectrogram 1	1	4424.0	4427.0	0	12000.0	Eurasian Blue Tit	blutit	0.5044	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_175500.wav	1.0
40	Spectrogram 1	1	4439.0	4442.0	0	12000.0	Eurasian Blue Tit	blutit	0.5634	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_175500.wav	16.0
41	Spectrogram 1	1	4441.0	4444.0	0	12000.0	Eurasian Blue Tit	blutit	0.5001	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_175500.wav	18.0
42	Spectrogram 1	1	4693.0	4696.0	0	12000.0	Eurasian Blue Tit	blutit	0.6110	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_181500.wav	30.0
43	Spectrogram 1	1	4694.0	4697.0	0	12000.0	Eurasian Blue Tit	blutit	0.5339	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_181500.wav	31.0
44	Spectrogram 1	1	4712.0	4715.0	0	12000.0	Eurasian Blue Tit	blutit	0.5294	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_181500.wav	49.0
45	Spectrogram 1	1	4716.0	4719.0	0	12000.0	Eurasian Collared-Dove	eucdov	0.5241	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_181500.wav	53.0
46	Spectrogram 1	1	4857.0	4860.0	0	12000.0	European Greenfinch	eurgre1	0.5409	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_183000.wav	14.0
47	Spectrogram 1	1	4858.0	4861.0	0	12000.0	European Greenfinch	eurgre1	0.5144	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_183000.wav	15.0
48	Spectrogram 1	1	5222.0	5225.0	0	12000.0	Rock Pigeon	rocpig	0.5122	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_190000.wav	19.0
49	Spectrogram 1	1	5505.0	5508.0	0	12000.0	Eurasian Blue Tit	blutit	0.6957	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_192500.wav	2.0
50	Spectrogram 1	1	5506.0	5509.0	0	12000.0	Eurasian Blue Tit	blutit	0.8152	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_192500.wav	3.0
51	Spectrogram 1	1	5507.0	5510.0	0	12000.0	Gray Wagtail	grywag	0.5536	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_192500.wav	4.0
52	Spectrogram 1	1	5513.0	5516.0	0	12000.0	Eurasian Blue Tit	blutit	0.6335	C:\Users\dm820\OneDrive - Imperial College London\Desktop\Dunstan\Data2\DUSTEN_20240611_192500.wav	10.0
