Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	2232.0	2235.0	0	12000.0	Short-toed Treecreeper	shttre1	0.5242	C:\Users\dm820\OneDrive - Imperial College London\Desktop\120Fenchurch\Data2\FENCHURCH_20240611_160500.wav	12.0
2	Spectrogram 1	1	10801.0	10804.0	0	12000.0	Herring Gull	hergul	0.6222	C:\Users\dm820\OneDrive - Imperial College London\Desktop\120Fenchurch\Data2\FENCHURCH_20240612_042002.wav	31.0
3	Spectrogram 1	1	10804.0	10807.0	0	12000.0	Herring Gull	hergul	0.5396	C:\Users\dm820\OneDrive - Imperial College London\Desktop\120Fenchurch\Data2\FENCHURCH_20240612_042002.wav	34.0
4	Spectrogram 1	1	10805.0	10808.0	0	12000.0	Herring Gull	hergul	0.5281	C:\Users\dm820\OneDrive - Imperial College London\Desktop\120Fenchurch\Data2\FENCHURCH_20240612_042002.wav	35.0
5	Spectrogram 1	1	10807.0	10810.0	0	12000.0	Herring Gull	hergul	0.5895	C:\Users\dm820\OneDrive - Imperial College London\Desktop\120Fenchurch\Data2\FENCHURCH_20240612_042002.wav	37.0
6	Spectrogram 1	1	10808.0	10811.0	0	12000.0	Herring Gull	hergul	0.6142	C:\Users\dm820\OneDrive - Imperial College London\Desktop\120Fenchurch\Data2\FENCHURCH_20240612_042002.wav	38.0
7	Spectrogram 1	1	10809.0	10812.0	0	12000.0	Herring Gull	hergul	0.5429	C:\Users\dm820\OneDrive - Imperial College London\Desktop\120Fenchurch\Data2\FENCHURCH_20240612_042002.wav	39.0
8	Spectrogram 1	1	10820.0	10823.0	0	12000.0	Herring Gull	hergul	0.6326	C:\Users\dm820\OneDrive - Imperial College London\Desktop\120Fenchurch\Data2\FENCHURCH_20240612_042002.wav	50.0
9	Spectrogram 1	1	11485.0	11488.0	0	12000.0	Herring Gull	hergul	0.6142	C:\Users\dm820\OneDrive - Imperial College London\Desktop\120Fenchurch\Data2\FENCHURCH_20240612_052000.wav	28.0
10	Spectrogram 1	1	11486.0	11489.0	0	12000.0	Herring Gull	hergul	0.6538	C:\Users\dm820\OneDrive - Imperial College London\Desktop\120Fenchurch\Data2\FENCHURCH_20240612_052000.wav	29.0
11	Spectrogram 1	1	11487.0	11490.0	0	12000.0	Herring Gull	hergul	0.6957	C:\Users\dm820\OneDrive - Imperial College London\Desktop\120Fenchurch\Data2\FENCHURCH_20240612_052000.wav	30.0
