Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	417.0	420.0	0	12000.0	European Goldfinch	eurgol	0.8121	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_142500.wav	49.0
2	Spectrogram 1	1	418.0	421.0	0	12000.0	European Goldfinch	eurgol	0.8164	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_142500.wav	50.0
3	Spectrogram 1	1	754.0	757.0	0	12000.0	Eurasian Jackdaw	eurjac	0.5575	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_145500.wav	26.0
4	Spectrogram 1	1	848.0	851.0	0	12000.0	Black Redstart	blared1	0.6346	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_150500.wav	0
5	Spectrogram 1	1	854.0	857.0	0	12000.0	Black Redstart	blared1	0.7521	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_150500.wav	6.0
6	Spectrogram 1	1	855.0	858.0	0	12000.0	Black Redstart	blared1	0.8705	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_150500.wav	7.0
7	Spectrogram 1	1	862.0	865.0	0	12000.0	Black Redstart	blared1	0.5455	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_150500.wav	14.0
8	Spectrogram 1	1	880.0	883.0	0	12000.0	Black Redstart	blared1	0.7045	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_150500.wav	32.0
9	Spectrogram 1	1	881.0	884.0	0	12000.0	Black Redstart	blared1	0.6375	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_150500.wav	33.0
10	Spectrogram 1	1	890.0	893.0	0	12000.0	Black Redstart	blared1	0.7073	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_150500.wav	42.0
11	Spectrogram 1	1	891.0	894.0	0	12000.0	Black Redstart	blared1	0.9132	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_150500.wav	43.0
12	Spectrogram 1	1	892.0	895.0	0	12000.0	Black Redstart	blared1	0.5624	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_150500.wav	44.0
13	Spectrogram 1	1	972.0	975.0	0	12000.0	Black Redstart	blared1	0.5008	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_151500.wav	4.0
14	Spectrogram 1	1	973.0	976.0	0	12000.0	Black Redstart	blared1	0.5883	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_151500.wav	5.0
15	Spectrogram 1	1	984.0	987.0	0	12000.0	Black Redstart	blared1	0.9033	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_151500.wav	16.0
16	Spectrogram 1	1	985.0	988.0	0	12000.0	Black Redstart	blared1	0.7614	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_151500.wav	17.0
17	Spectrogram 1	1	986.0	989.0	0	12000.0	Black Redstart	blared1	0.9379	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Guildhall June 18\GUILDHALL_20240611_151500.wav	18.0
