Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	377.0	380.0	0	12000.0	Eurasian Blackbird	eurbla	0.5929	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_154000.wav	17.0
2	Spectrogram 1	1	378.0	381.0	0	12000.0	Eurasian Blackbird	eurbla	0.5780	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_154000.wav	18.0
3	Spectrogram 1	1	380.0	383.0	0	12000.0	Eurasian Blackbird	eurbla	0.6665	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_154000.wav	20.0
4	Spectrogram 1	1	381.0	384.0	0	12000.0	Eurasian Blackbird	eurbla	0.7461	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_154000.wav	21.0
5	Spectrogram 1	1	1000.0	1003.0	0	12000.0	European Greenfinch	eurgre1	0.5199	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163000.wav	40.0
6	Spectrogram 1	1	1024.0	1027.0	0	12000.0	Carrion Crow	carcro1	0.5177	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163500.wav	4.0
7	Spectrogram 1	1	1025.0	1028.0	0	12000.0	Carrion Crow	carcro1	0.5927	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163500.wav	5.0
8	Spectrogram 1	1	1047.0	1050.0	0	12000.0	Carrion Crow	carcro1	0.7074	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163500.wav	27.0
9	Spectrogram 1	1	1048.0	1051.0	0	12000.0	Carrion Crow	carcro1	0.5388	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163500.wav	28.0
10	Spectrogram 1	1	1049.0	1052.0	0	12000.0	Carrion Crow	carcro1	0.5299	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163500.wav	29.0
11	Spectrogram 1	1	1050.0	1053.0	0	12000.0	Carrion Crow	carcro1	0.5629	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163500.wav	30.0
12	Spectrogram 1	1	1051.0	1054.0	0	12000.0	Carrion Crow	carcro1	0.5449	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163500.wav	31.0
13	Spectrogram 1	1	1060.0	1063.0	0	12000.0	Carrion Crow	carcro1	0.5370	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163500.wav	40.0
14	Spectrogram 1	1	1061.0	1064.0	0	12000.0	Carrion Crow	carcro1	0.5495	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163500.wav	41.0
15	Spectrogram 1	1	1062.0	1065.0	0	12000.0	Carrion Crow	carcro1	0.5717	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163500.wav	42.0
16	Spectrogram 1	1	1063.0	1066.0	0	12000.0	Carrion Crow	carcro1	0.5977	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163500.wav	43.0
17	Spectrogram 1	1	1069.0	1072.0	0	12000.0	Carrion Crow	carcro1	0.5354	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163500.wav	49.0
18	Spectrogram 1	1	1070.0	1073.0	0	12000.0	Carrion Crow	carcro1	0.6085	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_163500.wav	50.0
19	Spectrogram 1	1	1140.0	1143.0	0	12000.0	Carrion Crow	carcro1	0.5500	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_164500.wav	0
20	Spectrogram 1	1	1206.0	1209.0	0	12000.0	Eurasian Blackbird	eurbla	0.5493	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_165000.wav	6.0
21	Spectrogram 1	1	1221.0	1224.0	0	12000.0	Carrion Crow	carcro1	0.5327	D:\Project\All\7.2-7.9\KCL\Data2\KCL_20240702_165000.wav	21.0
