Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	1592.0	1595.0	0	12000.0	European Goldfinch	eurgol	0.7737	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	32.0
2	Spectrogram 1	1	1593.0	1596.0	0	12000.0	European Goldfinch	eurgol	0.7771	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	33.0
3	Spectrogram 1	1	1594.0	1597.0	0	12000.0	European Goldfinch	eurgol	0.7488	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	34.0
4	Spectrogram 1	1	1595.0	1598.0	0	12000.0	European Goldfinch	eurgol	0.7218	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	35.0
5	Spectrogram 1	1	1596.0	1599.0	0	12000.0	European Goldfinch	eurgol	0.7034	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	36.0
6	Spectrogram 1	1	1597.0	1600.0	0	12000.0	European Goldfinch	eurgol	0.8922	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	37.0
7	Spectrogram 1	1	1599.0	1602.0	0	12000.0	European Goldfinch	eurgol	0.7068	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	39.0
8	Spectrogram 1	1	1600.0	1603.0	0	12000.0	European Goldfinch	eurgol	0.7379	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	40.0
9	Spectrogram 1	1	1601.0	1604.0	0	12000.0	European Goldfinch	eurgol	0.5803	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	41.0
10	Spectrogram 1	1	1602.0	1605.0	0	12000.0	European Goldfinch	eurgol	0.5728	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	42.0
11	Spectrogram 1	1	1603.0	1606.0	0	12000.0	European Goldfinch	eurgol	0.7074	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	43.0
12	Spectrogram 1	1	1604.0	1607.0	0	12000.0	European Goldfinch	eurgol	0.5549	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	44.0
13	Spectrogram 1	1	1605.0	1608.0	0	12000.0	European Goldfinch	eurgol	0.6296	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	45.0
14	Spectrogram 1	1	1606.0	1609.0	0	12000.0	European Goldfinch	eurgol	0.5880	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	46.0
15	Spectrogram 1	1	1608.0	1611.0	0	12000.0	European Goldfinch	eurgol	0.8639	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	48.0
16	Spectrogram 1	1	1609.0	1612.0	0	12000.0	European Goldfinch	eurgol	0.8015	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	49.0
17	Spectrogram 1	1	1612.0	1615.0	0	12000.0	European Goldfinch	eurgol	0.6632	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	52.0
18	Spectrogram 1	1	1613.0	1616.0	0	12000.0	European Goldfinch	eurgol	0.7514	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	53.0
19	Spectrogram 1	1	1614.0	1617.0	0	12000.0	European Goldfinch	eurgol	0.8887	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	54.0
20	Spectrogram 1	1	1615.0	1618.0	0	12000.0	European Goldfinch	eurgol	0.5155	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	55.0
21	Spectrogram 1	1	1616.0	1619.0	0	12000.0	European Goldfinch	eurgol	0.8257	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	56.0
22	Spectrogram 1	1	1617.0	1620.0	0	12000.0	European Goldfinch	eurgol	0.6884	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_175000.wav	57.0
23	Spectrogram 1	1	3521.0	3524.0	0	12000.0	Herring Gull	hergul	0.5650	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240618_203000.wav	41.0
24	Spectrogram 1	1	7631.0	7634.0	0	12000.0	Herring Gull	hergul	0.5539	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240619_023002.wav	32.0
25	Spectrogram 1	1	8504.0	8507.0	0	12000.0	Herring Gull	hergul	0.5062	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240619_034502.wav	50.0
26	Spectrogram 1	1	8505.0	8508.0	0	12000.0	Herring Gull	hergul	0.5187	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240619_034502.wav	51.0
27	Spectrogram 1	1	8906.0	8909.0	0	12000.0	Herring Gull	hergul	0.5140	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240619_042002.wav	53.0
28	Spectrogram 1	1	8948.0	8951.0	0	12000.0	Herring Gull	hergul	0.5307	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240619_042502.wav	38.0
29	Spectrogram 1	1	9709.0	9712.0	0	12000.0	Herring Gull	hergul	0.5672	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240619_053000.wav	49.0
30	Spectrogram 1	1	10540.0	10543.0	0	12000.0	Herring Gull	hergul	0.5941	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240619_064000.wav	40.0
31	Spectrogram 1	1	10542.0	10545.0	0	12000.0	Herring Gull	hergul	0.5214	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240619_064000.wav	42.0
32	Spectrogram 1	1	12439.0	12442.0	0	12000.0	Herring Gull	hergul	0.6115	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240619_092000.wav	19.0
33	Spectrogram 1	1	12900.0	12903.0	0	12000.0	Lesser Black-backed Gull	lbbgul	0.6983	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\60 london wall data\Data2\60LONDONWALL_20240619_100000.wav	0
