Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	4908.0	4911.0	0	12000.0	Dunnock	dunnoc1	0.5250	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240611_171000.wav	1.0
2	Spectrogram 1	1	6914.0	6917.0	0	12000.0	Herring Gull	hergul	0.6547	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240611_195500.wav	27.0
3	Spectrogram 1	1	6916.0	6919.0	0	12000.0	Herring Gull	hergul	0.5140	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240611_195500.wav	29.0
4	Spectrogram 1	1	12478.0	12481.0	0	12000.0	Herring Gull	hergul	0.5184	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_040002.wav	29.0
5	Spectrogram 1	1	12479.0	12482.0	0	12000.0	Herring Gull	hergul	0.5117	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_040002.wav	30.0
6	Spectrogram 1	1	12481.0	12484.0	0	12000.0	Herring Gull	hergul	0.6094	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_040002.wav	32.0
7	Spectrogram 1	1	12482.0	12485.0	0	12000.0	Herring Gull	hergul	0.5051	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_040002.wav	33.0
8	Spectrogram 1	1	12743.0	12746.0	0	12000.0	Black-legged Kittiwake	bklkit	0.5239	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_042502.wav	9.0
9	Spectrogram 1	1	12748.0	12751.0	0	12000.0	Black-legged Kittiwake	bklkit	0.6252	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_042502.wav	14.0
10	Spectrogram 1	1	13177.0	13180.0	0	12000.0	Carrion Crow	carcro1	0.5583	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_050002.wav	44.0
11	Spectrogram 1	1	13178.0	13181.0	0	12000.0	Carrion Crow	carcro1	0.6647	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_050002.wav	45.0
12	Spectrogram 1	1	13179.0	13182.0	0	12000.0	Carrion Crow	carcro1	0.6899	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_050002.wav	46.0
13	Spectrogram 1	1	13180.0	13183.0	0	12000.0	Carrion Crow	carcro1	0.6805	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_050002.wav	47.0
14	Spectrogram 1	1	13336.0	13339.0	0	12000.0	European Goldfinch	eurgol	0.6953	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_051500.wav	32.0
15	Spectrogram 1	1	13337.0	13340.0	0	12000.0	European Goldfinch	eurgol	0.7258	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_051500.wav	33.0
16	Spectrogram 1	1	14001.0	14004.0	0	12000.0	Dunnock	dunnoc1	0.7193	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_061000.wav	37.0
17	Spectrogram 1	1	14002.0	14005.0	0	12000.0	Dunnock	dunnoc1	0.8357	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_061000.wav	38.0
18	Spectrogram 1	1	14003.0	14006.0	0	12000.0	Dunnock	dunnoc1	0.8506	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_061000.wav	39.0
19	Spectrogram 1	1	14004.0	14007.0	0	12000.0	Dunnock	dunnoc1	0.8122	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_061000.wav	40.0
20	Spectrogram 1	1	14005.0	14008.0	0	12000.0	Dunnock	dunnoc1	0.6926	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_061000.wav	41.0
21	Spectrogram 1	1	14006.0	14009.0	0	12000.0	Dunnock	dunnoc1	0.8697	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_061000.wav	42.0
22	Spectrogram 1	1	14008.0	14011.0	0	12000.0	Dunnock	dunnoc1	0.8955	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_061000.wav	44.0
23	Spectrogram 1	1	14009.0	14012.0	0	12000.0	Dunnock	dunnoc1	0.8889	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_061000.wav	45.0
24	Spectrogram 1	1	14010.0	14013.0	0	12000.0	Dunnock	dunnoc1	0.8701	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_061000.wav	46.0
25	Spectrogram 1	1	14011.0	14014.0	0	12000.0	Dunnock	dunnoc1	0.8189	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_061000.wav	47.0
26	Spectrogram 1	1	15852.0	15855.0	0	12000.0	Dunnock	dunnoc1	0.5372	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_084500.wav	28.0
27	Spectrogram 1	1	15853.0	15856.0	0	12000.0	Dunnock	dunnoc1	0.5926	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_084500.wav	29.0
28	Spectrogram 1	1	15854.0	15857.0	0	12000.0	Dunnock	dunnoc1	0.6683	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_084500.wav	30.0
29	Spectrogram 1	1	15855.0	15858.0	0	12000.0	Dunnock	dunnoc1	0.7134	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_084500.wav	31.0
30	Spectrogram 1	1	15869.0	15872.0	0	12000.0	Dunnock	dunnoc1	0.5845	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_084500.wav	45.0
31	Spectrogram 1	1	17245.0	17248.0	0	12000.0	Dunnock	dunnoc1	0.5520	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_104000.wav	41.0
32	Spectrogram 1	1	17246.0	17249.0	0	12000.0	Dunnock	dunnoc1	0.6444	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_104000.wav	42.0
33	Spectrogram 1	1	17247.0	17250.0	0	12000.0	Dunnock	dunnoc1	0.6577	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_104000.wav	43.0
34	Spectrogram 1	1	17248.0	17251.0	0	12000.0	Dunnock	dunnoc1	0.7315	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_104000.wav	44.0
35	Spectrogram 1	1	17252.0	17255.0	0	12000.0	Dunnock	dunnoc1	0.8767	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_104000.wav	48.0
36	Spectrogram 1	1	17253.0	17256.0	0	12000.0	Dunnock	dunnoc1	0.8834	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_104000.wav	49.0
37	Spectrogram 1	1	17254.0	17257.0	0	12000.0	Dunnock	dunnoc1	0.6566	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_104000.wav	50.0
38	Spectrogram 1	1	18528.0	18531.0	0	12000.0	Dunnock	dunnoc1	0.8106	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_123000.wav	4.0
39	Spectrogram 1	1	18529.0	18532.0	0	12000.0	Dunnock	dunnoc1	0.6094	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_123000.wav	5.0
40	Spectrogram 1	1	18534.0	18537.0	0	12000.0	Dunnock	dunnoc1	0.5703	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_123000.wav	10.0
41	Spectrogram 1	1	18535.0	18538.0	0	12000.0	Dunnock	dunnoc1	0.8296	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_123000.wav	11.0
42	Spectrogram 1	1	18536.0	18539.0	0	12000.0	Dunnock	dunnoc1	0.7544	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_123000.wav	12.0
43	Spectrogram 1	1	18537.0	18540.0	0	12000.0	Dunnock	dunnoc1	0.6103	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_123000.wav	13.0
44	Spectrogram 1	1	18749.0	18752.0	0	12000.0	Dunnock	dunnoc1	0.5787	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_124500.wav	45.0
45	Spectrogram 1	1	18750.0	18753.0	0	12000.0	Dunnock	dunnoc1	0.8495	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_124500.wav	46.0
46	Spectrogram 1	1	18751.0	18754.0	0	12000.0	Dunnock	dunnoc1	0.9032	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_124500.wav	47.0
47	Spectrogram 1	1	18752.0	18755.0	0	12000.0	Dunnock	dunnoc1	0.9009	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_124500.wav	48.0
48	Spectrogram 1	1	18753.0	18756.0	0	12000.0	Dunnock	dunnoc1	0.6742	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_124500.wav	49.0
49	Spectrogram 1	1	18757.0	18760.0	0	12000.0	Dunnock	dunnoc1	0.8769	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_124500.wav	53.0
50	Spectrogram 1	1	18758.0	18761.0	0	12000.0	Dunnock	dunnoc1	0.8804	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_124500.wav	54.0
51	Spectrogram 1	1	18759.0	18762.0	0	12000.0	Dunnock	dunnoc1	0.8840	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_124500.wav	55.0
52	Spectrogram 1	1	18760.0	18763.0	0	12000.0	Dunnock	dunnoc1	0.6718	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_124500.wav	56.0
53	Spectrogram 1	1	20195.0	20198.0	0	12000.0	Herring Gull	hergul	0.5372	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_144500.wav	51.0
54	Spectrogram 1	1	20212.0	20215.0	0	12000.0	Carrion Crow	carcro1	0.6124	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_145000.wav	8.0
55	Spectrogram 1	1	20213.0	20216.0	0	12000.0	Carrion Crow	carcro1	0.6467	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_145000.wav	9.0
56	Spectrogram 1	1	20214.0	20217.0	0	12000.0	Carrion Crow	carcro1	0.6516	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_145000.wav	10.0
57	Spectrogram 1	1	20237.0	20240.0	0	12000.0	Carrion Crow	carcro1	0.6669	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_145000.wav	33.0
58	Spectrogram 1	1	20238.0	20241.0	0	12000.0	Carrion Crow	carcro1	0.5966	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_145000.wav	34.0
59	Spectrogram 1	1	20239.0	20242.0	0	12000.0	Carrion Crow	carcro1	0.6099	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_145000.wav	35.0
60	Spectrogram 1	1	20240.0	20243.0	0	12000.0	Carrion Crow	carcro1	0.5723	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_145000.wav	36.0
61	Spectrogram 1	1	20242.0	20245.0	0	12000.0	Carrion Crow	carcro1	0.5646	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_145000.wav	38.0
62	Spectrogram 1	1	20243.0	20246.0	0	12000.0	Carrion Crow	carcro1	0.5286	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_145000.wav	39.0
63	Spectrogram 1	1	20625.0	20628.0	0	12000.0	Dunnock	dunnoc1	0.5234	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_152500.wav	1.0
64	Spectrogram 1	1	20626.0	20629.0	0	12000.0	Dunnock	dunnoc1	0.5639	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_152500.wav	2.0
65	Spectrogram 1	1	22220.0	22223.0	0	12000.0	European Goldfinch	eurgol	0.5373	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraGreenRoof\Data2\NOMURA_20240612_173500.wav	36.0
