Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	188.0	191.0	0	12000.0	Mallard	mallar3	0.5258	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_110000.wav	11.0
2	Spectrogram 1	1	449.0	452.0	0	12000.0	Lesser Black-backed Gull	lbbgul	0.5011	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_112000.wav	32.0
3	Spectrogram 1	1	515.0	518.0	0	12000.0	Dunnock	dunnoc1	0.8978	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_112500.wav	38.0
4	Spectrogram 1	1	516.0	519.0	0	12000.0	Dunnock	dunnoc1	0.9016	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_112500.wav	39.0
5	Spectrogram 1	1	517.0	520.0	0	12000.0	Dunnock	dunnoc1	0.8901	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_112500.wav	40.0
6	Spectrogram 1	1	534.0	537.0	0	12000.0	Dunnock	dunnoc1	0.6498	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_112500.wav	57.0
7	Spectrogram 1	1	1021.0	1024.0	0	12000.0	Eurasian Blue Tit	blutit	0.6990	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_121000.wav	4.0
8	Spectrogram 1	1	1022.0	1025.0	0	12000.0	Eurasian Blue Tit	blutit	0.5383	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_121000.wav	5.0
9	Spectrogram 1	1	1028.0	1031.0	0	12000.0	Eurasian Blue Tit	blutit	0.7127	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_121000.wav	11.0
10	Spectrogram 1	1	1029.0	1032.0	0	12000.0	Eurasian Blue Tit	blutit	0.5659	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_121000.wav	12.0
11	Spectrogram 1	1	1965.0	1968.0	0	12000.0	Rock Pigeon	rocpig	0.5724	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_132500.wav	48.0
12	Spectrogram 1	1	1983.0	1986.0	0	12000.0	Rook	rook1	0.5616	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_133000.wav	6.0
13	Spectrogram 1	1	2050.0	2053.0	0	12000.0	House Sparrow	houspa	0.7474	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_133500.wav	13.0
14	Spectrogram 1	1	2051.0	2054.0	0	12000.0	House Sparrow	houspa	0.6886	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_133500.wav	14.0
15	Spectrogram 1	1	2052.0	2055.0	0	12000.0	House Sparrow	houspa	0.6855	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_133500.wav	15.0
16	Spectrogram 1	1	2180.0	2183.0	0	12000.0	Lesser Black-backed Gull	lbbgul	0.5457	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_134500.wav	23.0
17	Spectrogram 1	1	2182.0	2185.0	0	12000.0	Lesser Black-backed Gull	lbbgul	0.5645	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_134500.wav	25.0
18	Spectrogram 1	1	2189.0	2192.0	0	12000.0	Dunnock	dunnoc1	0.5965	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_134500.wav	32.0
19	Spectrogram 1	1	2487.0	2490.0	0	12000.0	Lesser Black-backed Gull	lbbgul	0.5752	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_141000.wav	30.0
20	Spectrogram 1	1	2488.0	2491.0	0	12000.0	Lesser Black-backed Gull	lbbgul	0.5935	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_141000.wav	31.0
21	Spectrogram 1	1	2713.0	2716.0	0	12000.0	Eurasian Collared-Dove	eucdov	0.6679	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_143000.wav	16.0
22	Spectrogram 1	1	2714.0	2717.0	0	12000.0	Eurasian Collared-Dove	eucdov	0.6524	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_143000.wav	17.0
23	Spectrogram 1	1	2715.0	2718.0	0	12000.0	Eurasian Collared-Dove	eucdov	0.7904	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_143000.wav	18.0
24	Spectrogram 1	1	2866.0	2869.0	0	12000.0	Eurasian Blue Tit	blutit	0.5558	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_144000.wav	49.0
25	Spectrogram 1	1	2870.0	2873.0	0	12000.0	Eurasian Blue Tit	blutit	0.5677	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_144000.wav	53.0
26	Spectrogram 1	1	2871.0	2874.0	0	12000.0	Eurasian Blue Tit	blutit	0.5729	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_144000.wav	54.0
27	Spectrogram 1	1	2893.0	2896.0	0	12000.0	Eurasian Blue Tit	blutit	0.6637	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_144500.wav	16.0
28	Spectrogram 1	1	2894.0	2897.0	0	12000.0	Eurasian Blue Tit	blutit	0.8050	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_144500.wav	17.0
29	Spectrogram 1	1	2895.0	2898.0	0	12000.0	Eurasian Blue Tit	blutit	0.5233	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_144500.wav	18.0
30	Spectrogram 1	1	2896.0	2899.0	0	12000.0	Eurasian Blue Tit	blutit	0.6887	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_144500.wav	19.0
31	Spectrogram 1	1	2897.0	2900.0	0	12000.0	Eurasian Blue Tit	blutit	0.6594	C:\Users\dm820\OneDrive - Imperial College London\Desktop\NomuraTerraceGarden\Data2\NOMURA6_20240611_144500.wav	20.0
