Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	256.0	259.0	0	12000.0	Herring Gull	hergul	0.5181	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_121000.wav	16.0
2	Spectrogram 1	1	302.0	305.0	0	12000.0	Herring Gull	hergul	0.5658	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_121500.wav	2.0
3	Spectrogram 1	1	303.0	306.0	0	12000.0	Herring Gull	hergul	0.5298	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_121500.wav	3.0
4	Spectrogram 1	1	304.0	307.0	0	12000.0	Herring Gull	hergul	0.5135	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_121500.wav	4.0
5	Spectrogram 1	1	305.0	308.0	0	12000.0	Herring Gull	hergul	0.5678	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_121500.wav	5.0
6	Spectrogram 1	1	310.0	313.0	0	12000.0	Herring Gull	hergul	0.5178	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_121500.wav	10.0
7	Spectrogram 1	1	311.0	314.0	0	12000.0	Herring Gull	hergul	0.5840	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_121500.wav	11.0
8	Spectrogram 1	1	312.0	315.0	0	12000.0	Herring Gull	hergul	0.7097	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_121500.wav	12.0
9	Spectrogram 1	1	313.0	316.0	0	12000.0	Herring Gull	hergul	0.7524	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_121500.wav	13.0
10	Spectrogram 1	1	314.0	317.0	0	12000.0	Herring Gull	hergul	0.7255	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_121500.wav	14.0
11	Spectrogram 1	1	315.0	318.0	0	12000.0	Herring Gull	hergul	0.5925	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_121500.wav	15.0
12	Spectrogram 1	1	316.0	319.0	0	12000.0	Herring Gull	hergul	0.5914	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_121500.wav	16.0
13	Spectrogram 1	1	450.0	453.0	0	12000.0	Eurasian Magpie	eurmag1	0.5178	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_122500.wav	30.0
14	Spectrogram 1	1	472.0	475.0	0	12000.0	Herring Gull	hergul	0.6428	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_122500.wav	52.0
15	Spectrogram 1	1	473.0	476.0	0	12000.0	Herring Gull	hergul	0.5859	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_122500.wav	53.0
16	Spectrogram 1	1	474.0	477.0	0	12000.0	Herring Gull	hergul	0.5632	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_122500.wav	54.0
17	Spectrogram 1	1	476.0	479.0	0	12000.0	Herring Gull	hergul	0.5975	D:\Project\All\7.2-7.9\1Wood\Data2\1WOODSTREET_20240702_122500.wav	56.0
