Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	1164.0	1167.0	0	12000.0	Sooty Shearwater	sooshe	0.6231	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240625_135000.wav	24.0
2	Spectrogram 1	1	1165.0	1168.0	0	12000.0	Sooty Shearwater	sooshe	0.7518	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240625_135000.wav	25.0
3	Spectrogram 1	1	1166.0	1169.0	0	12000.0	Sooty Shearwater	sooshe	0.5086	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240625_135000.wav	26.0
4	Spectrogram 1	1	2256.0	2259.0	0	12000.0	Great Tit	gretit1	0.6688	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240625_152000.wav	36.0
5	Spectrogram 1	1	2257.0	2260.0	0	12000.0	Great Tit	gretit1	0.6016	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240625_152000.wav	37.0
6	Spectrogram 1	1	2270.0	2273.0	0	12000.0	Great Tit	gretit1	0.6216	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240625_152000.wav	50.0
7	Spectrogram 1	1	2271.0	2274.0	0	12000.0	Great Tit	gretit1	0.6725	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240625_152000.wav	51.0
8	Spectrogram 1	1	2866.0	2869.0	0	12000.0	Black-crowned Night-Heron	bcnher	0.5296	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240625_161000.wav	46.0
9	Spectrogram 1	1	2876.0	2879.0	0	12000.0	Black-crowned Night-Heron	bcnher	0.5353	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240625_161000.wav	56.0
10	Spectrogram 1	1	2877.0	2880.0	0	12000.0	Black-crowned Night-Heron	bcnher	0.6543	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240625_161000.wav	57.0
11	Spectrogram 1	1	4942.0	4945.0	0	12000.0	Eurasian Blue Tit	blutit	0.5105	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240625_190500.wav	22.0
12	Spectrogram 1	1	8248.0	8251.0	0	12000.0	Sandwich Tern	santer1	0.6655	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240625_235002.wav	13.0
13	Spectrogram 1	1	8620.0	8623.0	0	12000.0	Hooded Crow	hoocro1	0.5844	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_002002.wav	43.0
14	Spectrogram 1	1	8621.0	8624.0	0	12000.0	Hooded Crow	hoocro1	0.7177	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_002002.wav	44.0
15	Spectrogram 1	1	8622.0	8625.0	0	12000.0	Hooded Crow	hoocro1	0.6208	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_002002.wav	45.0
16	Spectrogram 1	1	10121.0	10124.0	0	12000.0	Eurasian Curlew	eurcur	0.5083	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_023502.wav	5.0
17	Spectrogram 1	1	10408.0	10411.0	0	12000.0	Tawny Owl	tawowl1	0.5041	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_030002.wav	7.0
18	Spectrogram 1	1	10561.0	10564.0	0	12000.0	Eurasian Blackbird	eurbla	0.6027	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_031002.wav	46.0
19	Spectrogram 1	1	10569.0	10572.0	0	12000.0	Eurasian Blackbird	eurbla	0.5320	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\Botolphs july 2\Data2\BOTOLPH_20240626_031002.wav	54.0
