Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	150.0	153.0	0	12000.0	Mediterranean Gull	medgul1	0.6482	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_132500.wav	30.0
2	Spectrogram 1	1	151.0	154.0	0	12000.0	Mediterranean Gull	medgul1	0.6960	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_132500.wav	31.0
3	Spectrogram 1	1	152.0	155.0	0	12000.0	Mediterranean Gull	medgul1	0.6629	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_132500.wav	32.0
4	Spectrogram 1	1	246.0	249.0	0	12000.0	European Greenfinch	eurgre1	0.6568	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_133500.wav	6.0
5	Spectrogram 1	1	464.0	467.0	0	12000.0	Gray Wagtail	grywag	0.6580	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_135000.wav	44.0
6	Spectrogram 1	1	707.0	710.0	0	12000.0	Peregrine Falcon	perfal	0.5284	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_141000.wav	47.0
7	Spectrogram 1	1	1075.0	1078.0	0	12000.0	Peregrine Falcon	perfal	0.5364	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_144000.wav	55.0
8	Spectrogram 1	1	1087.0	1090.0	0	12000.0	Herring Gull	hergul	0.5074	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_144500.wav	7.0
9	Spectrogram 1	1	1094.0	1097.0	0	12000.0	Lesser Black-backed Gull	lbbgul	0.6239	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_144500.wav	14.0
10	Spectrogram 1	1	1095.0	1098.0	0	12000.0	Lesser Black-backed Gull	lbbgul	0.5930	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_144500.wav	15.0
11	Spectrogram 1	1	1096.0	1099.0	0	12000.0	Lesser Black-backed Gull	lbbgul	0.5989	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_144500.wav	16.0
12	Spectrogram 1	1	1097.0	1100.0	0	12000.0	Lesser Black-backed Gull	lbbgul	0.6208	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_144500.wav	17.0
13	Spectrogram 1	1	1098.0	1101.0	0	12000.0	Lesser Black-backed Gull	lbbgul	0.6912	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_144500.wav	18.0
14	Spectrogram 1	1	1128.0	1131.0	0	12000.0	Black Redstart	blared1	0.5171	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_144500.wav	48.0
15	Spectrogram 1	1	1203.0	1206.0	0	12000.0	White Wagtail	whiwag	0.8449	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	3.0
16	Spectrogram 1	1	1204.0	1207.0	0	12000.0	White Wagtail	whiwag	0.7370	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	4.0
17	Spectrogram 1	1	1213.0	1216.0	0	12000.0	White Wagtail	whiwag	0.6884	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	13.0
18	Spectrogram 1	1	1217.0	1220.0	0	12000.0	White Wagtail	whiwag	0.5852	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	17.0
19	Spectrogram 1	1	1218.0	1221.0	0	12000.0	White Wagtail	whiwag	0.8091	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	18.0
20	Spectrogram 1	1	1219.0	1222.0	0	12000.0	White Wagtail	whiwag	0.9125	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	19.0
21	Spectrogram 1	1	1220.0	1223.0	0	12000.0	White Wagtail	whiwag	0.7181	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	20.0
22	Spectrogram 1	1	1230.0	1233.0	0	12000.0	White Wagtail	whiwag	0.6137	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	30.0
23	Spectrogram 1	1	1234.0	1237.0	0	12000.0	White Wagtail	whiwag	0.6609	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	34.0
24	Spectrogram 1	1	1235.0	1238.0	0	12000.0	Common House-Martin	cohmar1	0.5149	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	35.0
25	Spectrogram 1	1	1238.0	1241.0	0	12000.0	White Wagtail	whiwag	0.5572	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	38.0
26	Spectrogram 1	1	1238.0	1241.0	0	12000.0	Common House-Martin	cohmar1	0.5252	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	38.0
27	Spectrogram 1	1	1239.0	1242.0	0	12000.0	White Wagtail	whiwag	0.5075	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	39.0
28	Spectrogram 1	1	1240.0	1243.0	0	12000.0	White Wagtail	whiwag	0.7200	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	40.0
29	Spectrogram 1	1	1243.0	1246.0	0	12000.0	White Wagtail	whiwag	0.5428	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	43.0
30	Spectrogram 1	1	1244.0	1247.0	0	12000.0	White Wagtail	whiwag	0.6959	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	44.0
31	Spectrogram 1	1	1248.0	1251.0	0	12000.0	White Wagtail	whiwag	0.5610	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	48.0
32	Spectrogram 1	1	1249.0	1252.0	0	12000.0	White Wagtail	whiwag	0.7335	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	49.0
33	Spectrogram 1	1	1250.0	1253.0	0	12000.0	White Wagtail	whiwag	0.6398	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	50.0
34	Spectrogram 1	1	1254.0	1257.0	0	12000.0	White Wagtail	whiwag	0.7650	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	54.0
35	Spectrogram 1	1	1255.0	1258.0	0	12000.0	White Wagtail	whiwag	0.9133	D:\Project\All\7.2-7.9\CannonBridgeHouse\Data2\CANNONBRIDGE_20240702_145500.wav	55.0
