Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	13.0	16.0	0	12000.0	Rook	rook1	0.5353	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240620_112000.wav	13.0
2	Spectrogram 1	1	4186.0	4189.0	0	12000.0	Peregrine Falcon	perfal	0.5792	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240620_170500.wav	46.0
3	Spectrogram 1	1	4550.0	4553.0	0	12000.0	Ring-necked Pheasant	rinphe	0.5237	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240620_173500.wav	50.0
4	Spectrogram 1	1	11339.0	11342.0	0	12000.0	Gray Heron	graher1	0.5560	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_032002.wav	50.0
5	Spectrogram 1	1	11699.0	11702.0	0	12000.0	Herring Gull	hergul	0.5397	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_035502.wav	11.0
6	Spectrogram 1	1	11792.0	11795.0	0	12000.0	Peregrine Falcon	perfal	0.7106	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_040002.wav	47.0
7	Spectrogram 1	1	11793.0	11796.0	0	12000.0	Peregrine Falcon	perfal	0.8463	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_040002.wav	48.0
8	Spectrogram 1	1	12438.0	12441.0	0	12000.0	Carrion Crow	carcro1	0.5124	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_050002.wav	9.0
9	Spectrogram 1	1	12439.0	12442.0	0	12000.0	Carrion Crow	carcro1	0.5969	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_050002.wav	10.0
10	Spectrogram 1	1	12440.0	12443.0	0	12000.0	Carrion Crow	carcro1	0.7064	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_050002.wav	11.0
11	Spectrogram 1	1	12441.0	12444.0	0	12000.0	Carrion Crow	carcro1	0.6392	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_050002.wav	12.0
12	Spectrogram 1	1	12442.0	12445.0	0	12000.0	Carrion Crow	carcro1	0.6946	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_050002.wav	13.0
13	Spectrogram 1	1	12443.0	12446.0	0	12000.0	Carrion Crow	carcro1	0.6541	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_050002.wav	14.0
14	Spectrogram 1	1	12444.0	12447.0	0	12000.0	Carrion Crow	carcro1	0.6872	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_050002.wav	15.0
15	Spectrogram 1	1	12445.0	12448.0	0	12000.0	Carrion Crow	carcro1	0.6745	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_050002.wav	16.0
16	Spectrogram 1	1	12446.0	12449.0	0	12000.0	Carrion Crow	carcro1	0.6221	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_050002.wav	17.0
17	Spectrogram 1	1	12447.0	12450.0	0	12000.0	Carrion Crow	carcro1	0.5211	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_050002.wav	18.0
18	Spectrogram 1	1	12477.0	12480.0	0	12000.0	Carrion Crow	carcro1	0.6390	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_050002.wav	48.0
19	Spectrogram 1	1	12478.0	12481.0	0	12000.0	Carrion Crow	carcro1	0.6786	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_050002.wav	49.0
20	Spectrogram 1	1	12479.0	12482.0	0	12000.0	Carrion Crow	carcro1	0.6301	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_050002.wav	50.0
21	Spectrogram 1	1	12562.0	12565.0	0	12000.0	Carrion Crow	carcro1	0.6046	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_051002.wav	19.0
22	Spectrogram 1	1	12563.0	12566.0	0	12000.0	Carrion Crow	carcro1	0.6893	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_051002.wav	20.0
23	Spectrogram 1	1	12564.0	12567.0	0	12000.0	Carrion Crow	carcro1	0.8176	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_051002.wav	21.0
24	Spectrogram 1	1	12565.0	12568.0	0	12000.0	Carrion Crow	carcro1	0.7625	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_051002.wav	22.0
25	Spectrogram 1	1	12566.0	12569.0	0	12000.0	Carrion Crow	carcro1	0.8278	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_051002.wav	23.0
26	Spectrogram 1	1	12567.0	12570.0	0	12000.0	Carrion Crow	carcro1	0.6907	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_051002.wav	24.0
27	Spectrogram 1	1	12602.0	12605.0	0	12000.0	Carrion Crow	carcro1	0.5628	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_051500.wav	2.0
28	Spectrogram 1	1	12603.0	12606.0	0	12000.0	Carrion Crow	carcro1	0.5595	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_051500.wav	3.0
29	Spectrogram 1	1	12604.0	12607.0	0	12000.0	Carrion Crow	carcro1	0.6184	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_051500.wav	4.0
30	Spectrogram 1	1	12616.0	12619.0	0	12000.0	Carrion Crow	carcro1	0.5536	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_051500.wav	16.0
31	Spectrogram 1	1	12617.0	12620.0	0	12000.0	Carrion Crow	carcro1	0.7084	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_051500.wav	17.0
32	Spectrogram 1	1	12618.0	12621.0	0	12000.0	Carrion Crow	carcro1	0.7344	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_051500.wav	18.0
33	Spectrogram 1	1	12619.0	12622.0	0	12000.0	Carrion Crow	carcro1	0.6287	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_051500.wav	19.0
34	Spectrogram 1	1	13751.0	13754.0	0	12000.0	Carrion Crow	carcro1	0.7303	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_065000.wav	11.0
35	Spectrogram 1	1	13752.0	13755.0	0	12000.0	Carrion Crow	carcro1	0.7030	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_065000.wav	12.0
36	Spectrogram 1	1	13753.0	13756.0	0	12000.0	Carrion Crow	carcro1	0.6439	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_065000.wav	13.0
37	Spectrogram 1	1	13754.0	13757.0	0	12000.0	Carrion Crow	carcro1	0.7638	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_065000.wav	14.0
38	Spectrogram 1	1	13755.0	13758.0	0	12000.0	Carrion Crow	carcro1	0.7253	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_065000.wav	15.0
39	Spectrogram 1	1	13756.0	13759.0	0	12000.0	Carrion Crow	carcro1	0.5617	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_065000.wav	16.0
40	Spectrogram 1	1	15464.0	15467.0	0	12000.0	Dunlin	dunlin	0.5443	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_091000.wav	44.0
41	Spectrogram 1	1	18002.0	18005.0	0	12000.0	Carrion Crow	carcro1	0.5325	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_124500.wav	2.0
42	Spectrogram 1	1	18009.0	18012.0	0	12000.0	Carrion Crow	carcro1	0.5312	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_124500.wav	9.0
43	Spectrogram 1	1	18014.0	18017.0	0	12000.0	Carrion Crow	carcro1	0.6092	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_124500.wav	14.0
44	Spectrogram 1	1	18015.0	18018.0	0	12000.0	Carrion Crow	carcro1	0.5129	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_124500.wav	15.0
45	Spectrogram 1	1	18016.0	18019.0	0	12000.0	Carrion Crow	carcro1	0.5540	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_124500.wav	16.0
46	Spectrogram 1	1	18017.0	18020.0	0	12000.0	Carrion Crow	carcro1	0.6862	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_124500.wav	17.0
47	Spectrogram 1	1	18029.0	18032.0	0	12000.0	Carrion Crow	carcro1	0.6273	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_124500.wav	29.0
48	Spectrogram 1	1	18552.0	18555.0	0	12000.0	Carrion Crow	carcro1	0.5516	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_133000.wav	12.0
49	Spectrogram 1	1	20239.0	20242.0	0	12000.0	Eurasian Curlew	eurcur	0.5292	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_155000.wav	19.0
50	Spectrogram 1	1	21154.0	21157.0	0	12000.0	Peregrine Falcon	perfal	0.5153	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240621_170500.wav	34.0
51	Spectrogram 1	1	29333.0	29336.0	0	12000.0	Herring Gull	hergul	0.5119	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_045002.wav	38.0
52	Spectrogram 1	1	29594.0	29597.0	0	12000.0	Carrion Crow	carcro1	0.5534	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_051500.wav	14.0
53	Spectrogram 1	1	29595.0	29598.0	0	12000.0	Carrion Crow	carcro1	0.6332	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_051500.wav	15.0
54	Spectrogram 1	1	29596.0	29599.0	0	12000.0	Carrion Crow	carcro1	0.5960	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_051500.wav	16.0
55	Spectrogram 1	1	29597.0	29600.0	0	12000.0	Carrion Crow	carcro1	0.6532	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_051500.wav	17.0
56	Spectrogram 1	1	29598.0	29601.0	0	12000.0	Carrion Crow	carcro1	0.5120	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_051500.wav	18.0
57	Spectrogram 1	1	30012.0	30015.0	0	12000.0	Gray Wagtail	grywag	0.6380	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_055000.wav	12.0
58	Spectrogram 1	1	30013.0	30016.0	0	12000.0	Gray Wagtail	grywag	0.7926	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_055000.wav	13.0
59	Spectrogram 1	1	30014.0	30017.0	0	12000.0	Gray Wagtail	grywag	0.8003	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_055000.wav	14.0
60	Spectrogram 1	1	30374.0	30377.0	0	12000.0	Herring Gull	hergul	0.5119	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_062000.wav	14.0
61	Spectrogram 1	1	30400.0	30403.0	0	12000.0	Herring Gull	hergul	0.5392	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_062000.wav	40.0
62	Spectrogram 1	1	30680.0	30683.0	0	12000.0	Herring Gull	hergul	0.5899	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_064500.wav	20.0
63	Spectrogram 1	1	30737.0	30740.0	0	12000.0	Carrion Crow	carcro1	0.5360	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_065000.wav	17.0
64	Spectrogram 1	1	30738.0	30741.0	0	12000.0	Carrion Crow	carcro1	0.5882	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_065000.wav	18.0
65	Spectrogram 1	1	30739.0	30742.0	0	12000.0	Carrion Crow	carcro1	0.6834	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_065000.wav	19.0
66	Spectrogram 1	1	30740.0	30743.0	0	12000.0	Carrion Crow	carcro1	0.5717	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_065000.wav	20.0
67	Spectrogram 1	1	30741.0	30744.0	0	12000.0	Carrion Crow	carcro1	0.5214	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_065000.wav	21.0
68	Spectrogram 1	1	31035.0	31038.0	0	12000.0	Carrion Crow	carcro1	0.5213	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_071500.wav	15.0
69	Spectrogram 1	1	31036.0	31039.0	0	12000.0	Carrion Crow	carcro1	0.5648	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\79 charterhouse july 2\Data2\CHARTERHOUSE_20240622_071500.wav	16.0
