Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	9.0	12.0	0	12000.0	Dunnock	dunnoc1	0.5062	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_111000.wav	8.0
2	Spectrogram 1	1	121.0	124.0	0	12000.0	European Robin	eurrob1	0.6622	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	0
3	Spectrogram 1	1	122.0	125.0	0	12000.0	European Robin	eurrob1	0.8187	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	1.0
4	Spectrogram 1	1	123.0	126.0	0	12000.0	European Robin	eurrob1	0.7195	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	2.0
5	Spectrogram 1	1	124.0	127.0	0	12000.0	Great Tit	gretit1	0.5736	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	3.0
6	Spectrogram 1	1	125.0	128.0	0	12000.0	Great Tit	gretit1	0.5410	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	4.0
7	Spectrogram 1	1	132.0	135.0	0	12000.0	European Robin	eurrob1	0.5385	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	11.0
8	Spectrogram 1	1	134.0	137.0	0	12000.0	European Robin	eurrob1	0.8151	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	13.0
9	Spectrogram 1	1	138.0	141.0	0	12000.0	Dunnock	dunnoc1	0.5112	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	17.0
10	Spectrogram 1	1	142.0	145.0	0	12000.0	Dunnock	dunnoc1	0.8418	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	21.0
11	Spectrogram 1	1	143.0	146.0	0	12000.0	Dunnock	dunnoc1	0.6513	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	22.0
12	Spectrogram 1	1	145.0	148.0	0	12000.0	European Robin	eurrob1	0.5018	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	24.0
13	Spectrogram 1	1	146.0	149.0	0	12000.0	European Robin	eurrob1	0.7986	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	25.0
14	Spectrogram 1	1	147.0	150.0	0	12000.0	European Robin	eurrob1	0.6553	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	26.0
15	Spectrogram 1	1	158.0	161.0	0	12000.0	Dunnock	dunnoc1	0.6222	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	37.0
16	Spectrogram 1	1	161.0	164.0	0	12000.0	Dunnock	dunnoc1	0.7122	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	40.0
17	Spectrogram 1	1	162.0	165.0	0	12000.0	Dunnock	dunnoc1	0.7354	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	41.0
18	Spectrogram 1	1	163.0	166.0	0	12000.0	Dunnock	dunnoc1	0.8324	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	42.0
19	Spectrogram 1	1	164.0	167.0	0	12000.0	Dunnock	dunnoc1	0.8569	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	43.0
20	Spectrogram 1	1	165.0	168.0	0	12000.0	Dunnock	dunnoc1	0.8843	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	44.0
21	Spectrogram 1	1	166.0	169.0	0	12000.0	Dunnock	dunnoc1	0.7761	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	45.0
22	Spectrogram 1	1	169.0	172.0	0	12000.0	Dunnock	dunnoc1	0.6336	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	48.0
23	Spectrogram 1	1	170.0	173.0	0	12000.0	Dunnock	dunnoc1	0.7964	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	49.0
24	Spectrogram 1	1	171.0	174.0	0	12000.0	Dunnock	dunnoc1	0.8938	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	50.0
25	Spectrogram 1	1	172.0	175.0	0	12000.0	Dunnock	dunnoc1	0.8381	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	51.0
26	Spectrogram 1	1	173.0	176.0	0	12000.0	Dunnock	dunnoc1	0.7481	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	52.0
27	Spectrogram 1	1	174.0	177.0	0	12000.0	Dunnock	dunnoc1	0.5934	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	53.0
28	Spectrogram 1	1	175.0	178.0	0	12000.0	Dunnock	dunnoc1	0.5391	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112000.wav	54.0
29	Spectrogram 1	1	184.0	187.0	0	12000.0	Great Tit	gretit1	0.5949	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_112500.wav	3.0
30	Spectrogram 1	1	267.0	270.0	0	12000.0	Dunnock	dunnoc1	0.6128	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_113000.wav	26.0
31	Spectrogram 1	1	282.0	285.0	0	12000.0	European Robin	eurrob1	0.5572	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_113000.wav	41.0
32	Spectrogram 1	1	283.0	286.0	0	12000.0	European Robin	eurrob1	0.8334	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_113000.wav	42.0
33	Spectrogram 1	1	295.0	298.0	0	12000.0	European Robin	eurrob1	0.6157	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_113000.wav	54.0
34	Spectrogram 1	1	301.0	304.0	0	12000.0	Dunnock	dunnoc1	0.5819	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_113500.wav	0
35	Spectrogram 1	1	307.0	310.0	0	12000.0	European Goldfinch	eurgol	0.6074	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_113500.wav	6.0
36	Spectrogram 1	1	329.0	332.0	0	12000.0	European Goldfinch	eurgol	0.5775	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_113500.wav	28.0
37	Spectrogram 1	1	330.0	333.0	0	12000.0	European Goldfinch	eurgol	0.6133	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_113500.wav	29.0
38	Spectrogram 1	1	334.0	337.0	0	12000.0	European Goldfinch	eurgol	0.7876	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_113500.wav	33.0
39	Spectrogram 1	1	335.0	338.0	0	12000.0	European Goldfinch	eurgol	0.6666	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_113500.wav	34.0
40	Spectrogram 1	1	336.0	339.0	0	12000.0	European Goldfinch	eurgol	0.6232	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_113500.wav	35.0
41	Spectrogram 1	1	337.0	340.0	0	12000.0	European Goldfinch	eurgol	0.6856	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_113500.wav	36.0
42	Spectrogram 1	1	338.0	341.0	0	12000.0	European Goldfinch	eurgol	0.5309	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_113500.wav	37.0
43	Spectrogram 1	1	407.0	410.0	0	12000.0	European Goldfinch	eurgol	0.7618	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114000.wav	46.0
44	Spectrogram 1	1	408.0	411.0	0	12000.0	European Goldfinch	eurgol	0.6291	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114000.wav	47.0
45	Spectrogram 1	1	409.0	412.0	0	12000.0	European Goldfinch	eurgol	0.5188	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114000.wav	48.0
46	Spectrogram 1	1	415.0	418.0	0	12000.0	European Goldfinch	eurgol	0.5878	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114000.wav	54.0
47	Spectrogram 1	1	418.0	421.0	0	12000.0	Song Thrush	sonthr1	0.5370	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114000.wav	57.0
48	Spectrogram 1	1	429.0	432.0	0	12000.0	European Goldfinch	eurgol	0.7377	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	8.0
49	Spectrogram 1	1	430.0	433.0	0	12000.0	European Goldfinch	eurgol	0.7349	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	9.0
50	Spectrogram 1	1	442.0	445.0	0	12000.0	Dunnock	dunnoc1	0.5261	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	21.0
51	Spectrogram 1	1	443.0	446.0	0	12000.0	Dunnock	dunnoc1	0.5974	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	22.0
52	Spectrogram 1	1	444.0	447.0	0	12000.0	Dunnock	dunnoc1	0.6423	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	23.0
53	Spectrogram 1	1	449.0	452.0	0	12000.0	Dunnock	dunnoc1	0.7081	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	28.0
54	Spectrogram 1	1	452.0	455.0	0	12000.0	Dunnock	dunnoc1	0.5453	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	31.0
55	Spectrogram 1	1	454.0	457.0	0	12000.0	Dunnock	dunnoc1	0.6045	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	33.0
56	Spectrogram 1	1	455.0	458.0	0	12000.0	Dunnock	dunnoc1	0.7173	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	34.0
57	Spectrogram 1	1	456.0	459.0	0	12000.0	Dunnock	dunnoc1	0.6153	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	35.0
58	Spectrogram 1	1	459.0	462.0	0	12000.0	Dunnock	dunnoc1	0.5061	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	38.0
59	Spectrogram 1	1	461.0	464.0	0	12000.0	Dunnock	dunnoc1	0.5532	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	40.0
60	Spectrogram 1	1	462.0	465.0	0	12000.0	Dunnock	dunnoc1	0.5285	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	41.0
61	Spectrogram 1	1	472.0	475.0	0	12000.0	Dunnock	dunnoc1	0.5593	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	51.0
62	Spectrogram 1	1	474.0	477.0	0	12000.0	Dunnock	dunnoc1	0.5524	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	53.0
63	Spectrogram 1	1	475.0	478.0	0	12000.0	Dunnock	dunnoc1	0.6150	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	54.0
64	Spectrogram 1	1	476.0	479.0	0	12000.0	Dunnock	dunnoc1	0.5211	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	55.0
65	Spectrogram 1	1	477.0	480.0	0	12000.0	Dunnock	dunnoc1	0.7784	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	56.0
66	Spectrogram 1	1	478.0	481.0	0	12000.0	Dunnock	dunnoc1	0.7791	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_114500.wav	57.0
67	Spectrogram 1	1	488.0	491.0	0	12000.0	Dunnock	dunnoc1	0.7732	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_115000.wav	7.0
68	Spectrogram 1	1	489.0	492.0	0	12000.0	Dunnock	dunnoc1	0.5146	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_115000.wav	8.0
69	Spectrogram 1	1	497.0	500.0	0	12000.0	Dunnock	dunnoc1	0.8338	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_115000.wav	16.0
70	Spectrogram 1	1	498.0	501.0	0	12000.0	Dunnock	dunnoc1	0.6638	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_115000.wav	17.0
71	Spectrogram 1	1	513.0	516.0	0	12000.0	Dunnock	dunnoc1	0.6136	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_115000.wav	32.0
72	Spectrogram 1	1	514.0	517.0	0	12000.0	Dunnock	dunnoc1	0.5662	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_115000.wav	33.0
73	Spectrogram 1	1	519.0	522.0	0	12000.0	Dunnock	dunnoc1	0.5292	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_115000.wav	38.0
74	Spectrogram 1	1	521.0	524.0	0	12000.0	Dunnock	dunnoc1	0.6497	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_115000.wav	40.0
75	Spectrogram 1	1	522.0	525.0	0	12000.0	Dunnock	dunnoc1	0.7037	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_115000.wav	41.0
76	Spectrogram 1	1	524.0	527.0	0	12000.0	Dunnock	dunnoc1	0.6889	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_115000.wav	43.0
77	Spectrogram 1	1	530.0	533.0	0	12000.0	European Goldfinch	eurgol	0.5863	D:\Project\All\7.2-7.9\ClearyGardens\Data2\CLEARY_20240702_115000.wav	49.0
