Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	2426.0	2429.0	0	12000.0	Carrion Crow	carcro1	0.5137	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240625_173500.wav	42.0
2	Spectrogram 1	1	2427.0	2430.0	0	12000.0	Carrion Crow	carcro1	0.5284	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240625_173500.wav	43.0
3	Spectrogram 1	1	2430.0	2433.0	0	12000.0	Carrion Crow	carcro1	0.5255	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240625_173500.wav	46.0
4	Spectrogram 1	1	7329.0	7332.0	0	12000.0	Rock Pigeon	rocpig	0.6094	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_003502.wav	37.0
5	Spectrogram 1	1	8009.0	8012.0	0	12000.0	Song Thrush	sonthr1	0.5332	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_013502.wav	33.0
6	Spectrogram 1	1	8453.0	8456.0	0	12000.0	Common Wood-Pigeon	cowpig1	0.5933	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_021502.wav	21.0
7	Spectrogram 1	1	9049.0	9052.0	0	12000.0	Herring Gull	hergul	0.5475	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_030502.wav	47.0
8	Spectrogram 1	1	9050.0	9053.0	0	12000.0	Herring Gull	hergul	0.5793	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_030502.wav	48.0
9	Spectrogram 1	1	9051.0	9054.0	0	12000.0	Herring Gull	hergul	0.5278	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_030502.wav	49.0
10	Spectrogram 1	1	9052.0	9055.0	0	12000.0	Herring Gull	hergul	0.6007	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_030502.wav	50.0
11	Spectrogram 1	1	9055.0	9058.0	0	12000.0	Herring Gull	hergul	0.6549	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_030502.wav	53.0
12	Spectrogram 1	1	9057.0	9060.0	0	12000.0	Herring Gull	hergul	0.6192	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_030502.wav	55.0
13	Spectrogram 1	1	9589.0	9592.0	0	12000.0	Herring Gull	hergul	0.5268	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_035502.wav	17.0
14	Spectrogram 1	1	9745.0	9748.0	0	12000.0	Herring Gull	hergul	0.5922	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_041002.wav	2.0
15	Spectrogram 1	1	10161.0	10164.0	0	12000.0	Herring Gull	hergul	0.5275	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_044502.wav	19.0
16	Spectrogram 1	1	10177.0	10180.0	0	12000.0	White Wagtail	whiwag	0.5962	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_044502.wav	35.0
17	Spectrogram 1	1	10179.0	10182.0	0	12000.0	White Wagtail	whiwag	0.6238	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_044502.wav	37.0
18	Spectrogram 1	1	10751.0	10754.0	0	12000.0	Herring Gull	hergul	0.5581	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_053500.wav	30.0
19	Spectrogram 1	1	10767.0	10770.0	0	12000.0	Herring Gull	hergul	0.5231	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_053500.wav	46.0
20	Spectrogram 1	1	10771.0	10774.0	0	12000.0	Herring Gull	hergul	0.6529	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_053500.wav	50.0
21	Spectrogram 1	1	10772.0	10775.0	0	12000.0	Herring Gull	hergul	0.5906	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_053500.wav	51.0
22	Spectrogram 1	1	10777.0	10780.0	0	12000.0	Herring Gull	hergul	0.6909	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_053500.wav	56.0
23	Spectrogram 1	1	10778.0	10781.0	0	12000.0	Herring Gull	hergul	0.6921	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_053500.wav	57.0
24	Spectrogram 1	1	11146.0	11149.0	0	12000.0	Carrion Crow	carcro1	0.5096	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_061000.wav	5.0
25	Spectrogram 1	1	11866.0	11869.0	0	12000.0	Great Tit	gretit1	0.6465	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_071000.wav	5.0
26	Spectrogram 1	1	20621.0	20624.0	0	12000.0	European Goldfinch	eurgol	0.5614	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	0
27	Spectrogram 1	1	20622.0	20625.0	0	12000.0	European Goldfinch	eurgol	0.6157	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	1.0
28	Spectrogram 1	1	20623.0	20626.0	0	12000.0	European Goldfinch	eurgol	0.6160	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	2.0
29	Spectrogram 1	1	20624.0	20627.0	0	12000.0	European Goldfinch	eurgol	0.6835	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	3.0
30	Spectrogram 1	1	20625.0	20628.0	0	12000.0	European Goldfinch	eurgol	0.7524	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	4.0
31	Spectrogram 1	1	20627.0	20630.0	0	12000.0	European Goldfinch	eurgol	0.6514	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	6.0
32	Spectrogram 1	1	20628.0	20631.0	0	12000.0	European Goldfinch	eurgol	0.5964	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	7.0
33	Spectrogram 1	1	20629.0	20632.0	0	12000.0	European Goldfinch	eurgol	0.6962	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	8.0
34	Spectrogram 1	1	20630.0	20633.0	0	12000.0	European Goldfinch	eurgol	0.6646	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	9.0
35	Spectrogram 1	1	20631.0	20634.0	0	12000.0	European Goldfinch	eurgol	0.6732	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	10.0
36	Spectrogram 1	1	20632.0	20635.0	0	12000.0	European Goldfinch	eurgol	0.5795	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	11.0
37	Spectrogram 1	1	20633.0	20636.0	0	12000.0	European Goldfinch	eurgol	0.6479	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	12.0
38	Spectrogram 1	1	20634.0	20637.0	0	12000.0	European Goldfinch	eurgol	0.6811	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	13.0
39	Spectrogram 1	1	20635.0	20638.0	0	12000.0	European Goldfinch	eurgol	0.6908	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	14.0
40	Spectrogram 1	1	20636.0	20639.0	0	12000.0	European Goldfinch	eurgol	0.6129	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\week 3\100 liverpool st july 2\Data2\LIVERPOOLST_20240626_192000.wav	15.0
