Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	136.0	139.0	0	12000.0	Tree Pipit	trepip	0.7264	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240611_123000.wav	16.0
2	Spectrogram 1	1	1163.0	1166.0	0	12000.0	Dunnock	dunnoc1	0.5206	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240611_135500.wav	23.0
3	Spectrogram 1	1	1187.0	1190.0	0	12000.0	Dunnock	dunnoc1	0.5713	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240611_135500.wav	47.0
4	Spectrogram 1	1	1188.0	1191.0	0	12000.0	Dunnock	dunnoc1	0.6238	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240611_135500.wav	48.0
5	Spectrogram 1	1	6113.0	6116.0	0	12000.0	Dunnock	dunnoc1	0.6943	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240611_204500.wav	53.0
6	Spectrogram 1	1	6114.0	6117.0	0	12000.0	Dunnock	dunnoc1	0.8008	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240611_204500.wav	54.0
7	Spectrogram 1	1	6115.0	6118.0	0	12000.0	Dunnock	dunnoc1	0.6468	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240611_204500.wav	55.0
8	Spectrogram 1	1	6306.0	6309.0	0	12000.0	Dunnock	dunnoc1	0.6525	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240611_210502.wav	15.0
9	Spectrogram 1	1	6307.0	6310.0	0	12000.0	Dunnock	dunnoc1	0.6984	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240611_210502.wav	16.0
10	Spectrogram 1	1	6308.0	6311.0	0	12000.0	Dunnock	dunnoc1	0.6859	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240611_210502.wav	17.0
11	Spectrogram 1	1	7299.0	7302.0	0	12000.0	Peregrine Falcon	perfal	0.7565	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240611_223002.wav	39.0
12	Spectrogram 1	1	8404.0	8407.0	0	12000.0	Song Thrush	sonthr1	0.5072	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_001002.wav	4.0
13	Spectrogram 1	1	9377.0	9380.0	0	12000.0	Song Thrush	sonthr1	0.5646	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_013502.wav	8.0
14	Spectrogram 1	1	10509.0	10512.0	0	12000.0	European Robin	eurrob1	0.8391	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	0
15	Spectrogram 1	1	10515.0	10518.0	0	12000.0	European Robin	eurrob1	0.8462	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	6.0
16	Spectrogram 1	1	10516.0	10519.0	0	12000.0	European Robin	eurrob1	0.8979	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	7.0
17	Spectrogram 1	1	10517.0	10520.0	0	12000.0	European Robin	eurrob1	0.8686	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	8.0
18	Spectrogram 1	1	10518.0	10521.0	0	12000.0	European Robin	eurrob1	0.7882	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	9.0
19	Spectrogram 1	1	10519.0	10522.0	0	12000.0	European Robin	eurrob1	0.8296	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	10.0
20	Spectrogram 1	1	10520.0	10523.0	0	12000.0	European Robin	eurrob1	0.8349	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	11.0
21	Spectrogram 1	1	10524.0	10527.0	0	12000.0	European Robin	eurrob1	0.6500	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	15.0
22	Spectrogram 1	1	10525.0	10528.0	0	12000.0	European Robin	eurrob1	0.8538	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	16.0
23	Spectrogram 1	1	10526.0	10529.0	0	12000.0	European Robin	eurrob1	0.9109	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	17.0
24	Spectrogram 1	1	10527.0	10530.0	0	12000.0	European Robin	eurrob1	0.8129	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	18.0
25	Spectrogram 1	1	10530.0	10533.0	0	12000.0	European Robin	eurrob1	0.6012	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	21.0
26	Spectrogram 1	1	10531.0	10534.0	0	12000.0	European Robin	eurrob1	0.8773	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	22.0
27	Spectrogram 1	1	10532.0	10535.0	0	12000.0	European Robin	eurrob1	0.8915	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	23.0
28	Spectrogram 1	1	10533.0	10536.0	0	12000.0	European Robin	eurrob1	0.8506	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	24.0
29	Spectrogram 1	1	10534.0	10537.0	0	12000.0	European Robin	eurrob1	0.8008	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	25.0
30	Spectrogram 1	1	10535.0	10538.0	0	12000.0	European Robin	eurrob1	0.8715	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	26.0
31	Spectrogram 1	1	10536.0	10539.0	0	12000.0	European Robin	eurrob1	0.8329	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	27.0
32	Spectrogram 1	1	10537.0	10540.0	0	12000.0	European Robin	eurrob1	0.7064	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	28.0
33	Spectrogram 1	1	10538.0	10541.0	0	12000.0	European Robin	eurrob1	0.8125	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	29.0
34	Spectrogram 1	1	10539.0	10542.0	0	12000.0	European Robin	eurrob1	0.6559	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	30.0
35	Spectrogram 1	1	10540.0	10543.0	0	12000.0	European Robin	eurrob1	0.6985	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	31.0
36	Spectrogram 1	1	10541.0	10544.0	0	12000.0	European Robin	eurrob1	0.8457	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	32.0
37	Spectrogram 1	1	10542.0	10545.0	0	12000.0	European Robin	eurrob1	0.8750	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	33.0
38	Spectrogram 1	1	10543.0	10546.0	0	12000.0	European Robin	eurrob1	0.8254	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	34.0
39	Spectrogram 1	1	10544.0	10547.0	0	12000.0	European Robin	eurrob1	0.7448	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	35.0
40	Spectrogram 1	1	10545.0	10548.0	0	12000.0	European Robin	eurrob1	0.8765	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	36.0
41	Spectrogram 1	1	10546.0	10549.0	0	12000.0	European Robin	eurrob1	0.7628	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	37.0
42	Spectrogram 1	1	10549.0	10552.0	0	12000.0	European Robin	eurrob1	0.6720	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	40.0
43	Spectrogram 1	1	10550.0	10553.0	0	12000.0	European Robin	eurrob1	0.5989	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	41.0
44	Spectrogram 1	1	10551.0	10554.0	0	12000.0	European Robin	eurrob1	0.8612	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	42.0
45	Spectrogram 1	1	10552.0	10555.0	0	12000.0	European Robin	eurrob1	0.7682	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	43.0
46	Spectrogram 1	1	10553.0	10556.0	0	12000.0	European Robin	eurrob1	0.8690	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	44.0
47	Spectrogram 1	1	10554.0	10557.0	0	12000.0	European Robin	eurrob1	0.7885	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	45.0
48	Spectrogram 1	1	10555.0	10558.0	0	12000.0	European Robin	eurrob1	0.7577	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	46.0
49	Spectrogram 1	1	10557.0	10560.0	0	12000.0	European Robin	eurrob1	0.5058	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	48.0
50	Spectrogram 1	1	10558.0	10561.0	0	12000.0	European Robin	eurrob1	0.6646	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	49.0
51	Spectrogram 1	1	10560.0	10563.0	0	12000.0	European Robin	eurrob1	0.6459	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	51.0
52	Spectrogram 1	1	10561.0	10564.0	0	12000.0	European Robin	eurrob1	0.6900	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	52.0
53	Spectrogram 1	1	10562.0	10565.0	0	12000.0	European Robin	eurrob1	0.7619	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_031502.wav	53.0
54	Spectrogram 1	1	10742.0	10745.0	0	12000.0	Song Thrush	sonthr1	0.5215	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_033502.wav	5.0
55	Spectrogram 1	1	10819.0	10822.0	0	12000.0	Egyptian Goose	egygoo	0.5503	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_034002.wav	25.0
56	Spectrogram 1	1	10820.0	10823.0	0	12000.0	Egyptian Goose	egygoo	0.5005	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_034002.wav	26.0
57	Spectrogram 1	1	10996.0	10999.0	0	12000.0	European Robin	eurrob1	0.7117	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_035502.wav	31.0
58	Spectrogram 1	1	10997.0	11000.0	0	12000.0	European Robin	eurrob1	0.6877	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_035502.wav	32.0
59	Spectrogram 1	1	10998.0	11001.0	0	12000.0	European Robin	eurrob1	0.5227	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_035502.wav	33.0
60	Spectrogram 1	1	10999.0	11002.0	0	12000.0	European Robin	eurrob1	0.7157	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_035502.wav	34.0
61	Spectrogram 1	1	11000.0	11003.0	0	12000.0	European Robin	eurrob1	0.6611	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_035502.wav	35.0
62	Spectrogram 1	1	11008.0	11011.0	0	12000.0	European Robin	eurrob1	0.5301	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_035502.wav	43.0
63	Spectrogram 1	1	11009.0	11012.0	0	12000.0	European Robin	eurrob1	0.7191	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_035502.wav	44.0
64	Spectrogram 1	1	11010.0	11013.0	0	12000.0	European Robin	eurrob1	0.5672	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_035502.wav	45.0
65	Spectrogram 1	1	11014.0	11017.0	0	12000.0	European Robin	eurrob1	0.5871	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_035502.wav	49.0
66	Spectrogram 1	1	11015.0	11018.0	0	12000.0	European Robin	eurrob1	0.7107	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_035502.wav	50.0
67	Spectrogram 1	1	11016.0	11019.0	0	12000.0	European Robin	eurrob1	0.6340	C:\Users\ikb23\OneDrive - Imperial College London\Documents\Pepys Bird Data June 18\Data2\SEEING_20240612_035502.wav	51.0
