Site,Site_type,Area_m2,%Green_cover,Height_m
Walbrook,Conventional,516,0.000,20
Guildhall,Extensive,2230,35.247,7
Fenchurch,Intensive,2942,19.748,65
Nomura6Terrace,Intensive,2068,35.493,20
Nomura11Roof,Extensive,3765,63.134,45
Weils,Intensive,2621,7.364,30
Liverpool,Extensive,2334,17.009,50
Charterhouse,Conventional,176,0.000,12
CannonBridge,Intensive,3775,46.755,25
BirdandBird,Extensive,1142,65.674,50
KCL,Conventional,3400,0.000,20
LondonWall,Extensive,2229,4.262,50
OneWood,Extensive,2246,65.717,35
Cleary,Garden,1865,58.820,0
Temple,Garden,14164,94.352,0
Pepys,Garden,1279,60.203,0
Botolphs,Garden,3258,51.657,0
RomanWall,Garden,578,96.886,0
BarberSurgeons,Garden,3430,93.878,0
Dunstan,Garden,1687,89.034,0
ChristchurchGreyfriars,Garden,3499,63.990,0
