Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	121.0	124.0	0	12000.0	Eurasian Wren	winwre4	0.6465	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_154500.wav	14.0
2	Spectrogram 1	1	122.0	125.0	0	12000.0	Eurasian Wren	winwre4	0.5710	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_154500.wav	15.0
3	Spectrogram 1	1	123.0	126.0	0	12000.0	Eurasian Wren	winwre4	0.6860	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_154500.wav	16.0
4	Spectrogram 1	1	125.0	128.0	0	12000.0	Eurasian Wren	winwre4	0.5373	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_154500.wav	18.0
5	Spectrogram 1	1	156.0	159.0	0	12000.0	Eurasian Green Woodpecker	eugwoo2	0.7872	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_154500.wav	49.0
6	Spectrogram 1	1	822.0	825.0	0	12000.0	European Robin	eurrob1	0.5500	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_164000.wav	55.0
7	Spectrogram 1	1	824.0	827.0	0	12000.0	European Robin	eurrob1	0.5186	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_164000.wav	57.0
8	Spectrogram 1	1	903.0	906.0	0	12000.0	Eurasian Wren	winwre4	0.5027	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_165000.wav	16.0
9	Spectrogram 1	1	904.0	907.0	0	12000.0	Eurasian Wren	winwre4	0.5992	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_165000.wav	17.0
10	Spectrogram 1	1	905.0	908.0	0	12000.0	Eurasian Wren	winwre4	0.5168	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_165000.wav	18.0
11	Spectrogram 1	1	906.0	909.0	0	12000.0	Eurasian Wren	winwre4	0.5283	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_165000.wav	19.0
12	Spectrogram 1	1	1011.0	1014.0	0	12000.0	Dunnock	dunnoc1	0.5445	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_170000.wav	4.0
13	Spectrogram 1	1	1016.0	1019.0	0	12000.0	Eurasian Wren	winwre4	0.6249	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_170000.wav	9.0
14	Spectrogram 1	1	1017.0	1020.0	0	12000.0	Eurasian Wren	winwre4	0.6502	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_170000.wav	10.0
15	Spectrogram 1	1	1024.0	1027.0	0	12000.0	Common Kingfisher	comkin1	0.5554	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_170000.wav	17.0
16	Spectrogram 1	1	1025.0	1028.0	0	12000.0	Common Kingfisher	comkin1	0.5460	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_170000.wav	18.0
17	Spectrogram 1	1	1026.0	1029.0	0	12000.0	Dunnock	dunnoc1	0.7660	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_170000.wav	19.0
18	Spectrogram 1	1	1032.0	1035.0	0	12000.0	Eurasian Wren	winwre4	0.5071	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_170000.wav	25.0
19	Spectrogram 1	1	1033.0	1036.0	0	12000.0	Eurasian Wren	winwre4	0.5937	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_170000.wav	26.0
20	Spectrogram 1	1	1040.0	1043.0	0	12000.0	Common Kingfisher	comkin1	0.7602	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_170000.wav	33.0
21	Spectrogram 1	1	1042.0	1045.0	0	12000.0	Common Kingfisher	comkin1	0.5518	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_170000.wav	35.0
22	Spectrogram 1	1	1043.0	1046.0	0	12000.0	Dunnock	dunnoc1	0.5663	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_170000.wav	36.0
23	Spectrogram 1	1	1043.0	1046.0	0	12000.0	Common Kingfisher	comkin1	0.5424	D:\Project\All\7.2-7.9\InnerTemple\Data2\TEMPLE_20240702_170000.wav	36.0
