Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	447.0	450.0	0	12000.0	Herring Gull	hergul	0.5498	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_102000.wav	41.0
2	Spectrogram 1	1	448.0	451.0	0	12000.0	Herring Gull	hergul	0.5325	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_102000.wav	42.0
3	Spectrogram 1	1	449.0	452.0	0	12000.0	Herring Gull	hergul	0.5676	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_102000.wav	43.0
4	Spectrogram 1	1	1056.0	1059.0	0	12000.0	Carrion Crow	carcro1	0.5639	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_111000.wav	50.0
5	Spectrogram 1	1	1057.0	1060.0	0	12000.0	Carrion Crow	carcro1	0.5367	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_111000.wav	51.0
6	Spectrogram 1	1	1058.0	1061.0	0	12000.0	Carrion Crow	carcro1	0.6507	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_111000.wav	52.0
7	Spectrogram 1	1	2242.0	2245.0	0	12000.0	Herring Gull	hergul	0.5354	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_125000.wav	36.0
8	Spectrogram 1	1	2961.0	2964.0	0	12000.0	Carrion Crow	carcro1	0.6167	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_135000.wav	35.0
9	Spectrogram 1	1	2969.0	2972.0	0	12000.0	Carrion Crow	carcro1	0.5215	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_135000.wav	43.0
10	Spectrogram 1	1	2971.0	2974.0	0	12000.0	Carrion Crow	carcro1	0.5964	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_135000.wav	45.0
11	Spectrogram 1	1	2972.0	2975.0	0	12000.0	Carrion Crow	carcro1	0.5853	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_135000.wav	46.0
12	Spectrogram 1	1	2973.0	2976.0	0	12000.0	Carrion Crow	carcro1	0.5170	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_135000.wav	47.0
13	Spectrogram 1	1	2974.0	2977.0	0	12000.0	Carrion Crow	carcro1	0.5554	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_135000.wav	48.0
14	Spectrogram 1	1	3012.0	3015.0	0	12000.0	Eurasian Coot	eurcoo	0.5511	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_135500.wav	26.0
15	Spectrogram 1	1	3046.0	3049.0	0	12000.0	Gray Wagtail	grywag	0.7046	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_140000.wav	0
16	Spectrogram 1	1	3050.0	3053.0	0	12000.0	Gray Wagtail	grywag	0.5713	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_140000.wav	4.0
17	Spectrogram 1	1	4733.0	4736.0	0	12000.0	Peregrine Falcon	perfal	0.5176	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_162000.wav	7.0
18	Spectrogram 1	1	4734.0	4737.0	0	12000.0	Peregrine Falcon	perfal	0.6384	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_162000.wav	8.0
19	Spectrogram 1	1	4735.0	4738.0	0	12000.0	Peregrine Falcon	perfal	0.7732	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\walbrooke_uncorrupt\WARBROOK_20240611_162000.wav	9.0
