Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	1508.0	1511.0	0	12000.0	Black Redstart	blared1	0.8466	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_150000.wav	8.0
2	Spectrogram 1	1	1657.0	1660.0	0	12000.0	Herring Gull	hergul	0.6242	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_151000.wav	37.0
3	Spectrogram 1	1	1658.0	1661.0	0	12000.0	Herring Gull	hergul	0.6726	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_151000.wav	38.0
4	Spectrogram 1	1	1659.0	1662.0	0	12000.0	Herring Gull	hergul	0.6991	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_151000.wav	39.0
5	Spectrogram 1	1	1660.0	1663.0	0	12000.0	Herring Gull	hergul	0.6007	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_151000.wav	40.0
6	Spectrogram 1	1	1866.0	1869.0	0	12000.0	Song Thrush	sonthr1	0.5217	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_153000.wav	6.0
7	Spectrogram 1	1	2053.0	2056.0	0	12000.0	Eurasian Blackbird	eurbla	0.5671	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_154500.wav	13.0
8	Spectrogram 1	1	2057.0	2060.0	0	12000.0	Eurasian Blackbird	eurbla	0.6666	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_154500.wav	17.0
9	Spectrogram 1	1	2058.0	2061.0	0	12000.0	Eurasian Blackbird	eurbla	0.5227	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_154500.wav	18.0
10	Spectrogram 1	1	2059.0	2062.0	0	12000.0	Eurasian Blackbird	eurbla	0.5504	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_154500.wav	19.0
11	Spectrogram 1	1	2061.0	2064.0	0	12000.0	Eurasian Blackbird	eurbla	0.5882	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_154500.wav	21.0
12	Spectrogram 1	1	2062.0	2065.0	0	12000.0	Eurasian Blackbird	eurbla	0.7651	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_154500.wav	22.0
13	Spectrogram 1	1	2064.0	2067.0	0	12000.0	Eurasian Blackbird	eurbla	0.5559	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_154500.wav	24.0
14	Spectrogram 1	1	2064.0	2067.0	0	12000.0	European Robin	eurrob1	0.5242	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_154500.wav	24.0
15	Spectrogram 1	1	2089.0	2092.0	0	12000.0	European Robin	eurrob1	0.5506	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_154500.wav	49.0
16	Spectrogram 1	1	2093.0	2096.0	0	12000.0	European Robin	eurrob1	0.5604	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_154500.wav	53.0
17	Spectrogram 1	1	2113.0	2116.0	0	12000.0	Herring Gull	hergul	0.5376	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_155000.wav	13.0
18	Spectrogram 1	1	2114.0	2117.0	0	12000.0	Herring Gull	hergul	0.6142	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_155000.wav	14.0
19	Spectrogram 1	1	2115.0	2118.0	0	12000.0	Herring Gull	hergul	0.6569	C:\Users\ikb23\OneDrive - Imperial College London\Desktop\weils data\Data2\FETTER_20240618_155000.wav	15.0
